"name","left geod","right geod","ortho"
"v1272(,)",0.10482+2.30691j,0.78856-1.93323j,1.83364+0.91724j
"v1273(,)",0.68772-2.4475j,0.68772-2.4475j,1.74007-0.1497j
"v1278(,)",0.56774-2.2957j,0.68487-1.85246j,1.07396+2.52789j
"v1280(,)",0.67016+2.51544j,0.7241+2.02548j,1.27513-0.38436j
"v1283(,)",0.46306-1.91026j,0.54482-1.93027j,1.21088+1.78017j
"v1287(,)",0.60022+2.06823j,0.61083-1.80784j,1.06117+2.19805j
"v1290(,)",0.67981-2.38766j,0.67981-2.38766j,1.7805-0.24614j
"v1290(,)",0.67981-2.38766j,0.79749+1.94296j,0.95377-3.08137j
"v1290(,)",0.09508-2.5866j,0.67981-2.38766j,1.90098+2.08906j
"v1290(,)",0.79749+1.94296j,0.79749+1.94296j,1.8359-0.72326j
"v1298(,)",0.68495-2.39453j,0.76797+1.89851j,0.96596+0.09194j
"v1299(,)",0.67002+2.40832j,0.78084-1.88421j,0.96585-0.10919j
"v1303(,)",0.77563+1.92459j,0.77563+1.92459j,1.8543-0.73499j
"v1303(,)",0.71357-2.40279j,0.77563+1.92459j,0.94503-3.06287j
"v1303(,)",0.71357-2.40279j,0.71357-2.40279j,1.75289-0.20561j
"v1305(,)",0.50562+2.21784j,0.62039+1.75673j,1.14022-2.38032j
"v1306(,)",0.66169-2.52762j,0.73018-2.03314j,1.26653+0.41047j
"v1310(,)",0.69006+2.39451j,0.76803-1.90325j,0.9631-0.08876j
"v1311(,)",0.66958-2.41329j,0.78563+1.88378j,0.96293+0.11234j
"v1312(,)",0.54477-1.81349j,0.58379+2.08029j,1.12566-0.95248j
"v1314(,)",0.68538-2.38962j,0.68538-2.38962j,1.76898-0.24086j
"v1314(,)",0.0845+2.43796j,0.68538-2.38962j,1.95775+2.1612j
"v1318(,)",0.69463-2.39585j,0.76932+1.90744j,0.95972-3.05492j
"v1319(,)",0.67047+2.41783j,0.79002-1.88467j,0.9595+3.02722j
"v1321(,)",0.53211-2.06692j,0.55978+1.77698j,1.14657-2.15935j
"v1323(,)",0.55386+1.82493j,0.57144-2.08487j,1.12524-2.19512j
"v1324(,)",0.49291+2.23337j,0.60402+1.77365j,1.16926-2.40115j
"v1325(,)",0.53527-2.03845j,0.54926+1.80039j,1.15826-2.19964j
"v1329(,)",0.71236-2.40766j,0.71236-2.40766j,1.75017-0.20083j
"v1329(,)",0.71236-2.40766j,0.78+1.92356j,0.94265+0.0821j
"v1329(,)",0.07842+2.41946j,0.78+1.92356j,1.97939+1.98971j
"v1329(,)",0.78+1.92356j,0.78+1.92356j,1.8446-0.73167j
"v1330(,)",0.67984+2.4361j,0.67984+2.4361j,1.75521+0.15325j
"v1331(,)",0.57096+2.23292j,0.69452+1.78087j,1.04363-2.4367j
"v1334(,)",0.7669-1.92436j,0.7669-1.92436j,1.85246+0.69401j
"v1334(,)",0.66608+2.417j,0.7669-1.92436j,0.97783-0.09144j
"v1334(,)",0.66608+2.417j,0.66608+2.417j,1.81514+0.1851j
"v1337(,)",0.69829+2.39816j,0.77147-1.91077j,0.95625+3.0559j
"v1337(,)",0.69829+2.39816j,0.69829+2.39816j,1.7685+0.19783j
"v1338(,)",0.79361+1.88653j,0.79361+1.88653j,1.82443-0.64704j
"v1338(,)",0.67235-2.42157j,0.79361+1.88653j,0.956+0.11531j
"v1338(,)",0.67235-2.42157j,0.67235-2.42157j,1.77216-0.15971j
"v1339(,)",0.07494+1.80914j,0.66738+2.41269j,2.02487-1.62621j
"v1339(,)",0.77071-1.92755j,0.77071-1.92755j,1.85089+0.69836j
"v1339(,)",0.66738+2.41269j,0.66738+2.41269j,1.81169+0.19429j
"v1339(,)",0.66738+2.41269j,0.77071-1.92755j,0.97516+3.05499j
"v1341(,)",0.65044+2.53364j,0.73203+2.04148j,1.26961-0.43413j
"v1342(,)",0.58481+2.08014j,0.60541-1.79208j,1.07196+2.17509j
"v1343(,)",0.59665-2.0551j,0.60226+1.81555j,1.07259-2.21119j
"v1344(,)",0.59649+2.52715j,0.7174+2.07739j,1.33982-0.51576j
"v1345(,)",0.60266-2.5339j,0.72348-2.07425j,1.32121+0.51251j
"v1349(,)",0.77499+1.92962j,0.77499+1.92962j,1.8484-0.70202j
"v1349(,)",0.07216+1.77555j,0.66957-2.40899j,2.04293+1.70652j
"v1349(,)",0.66957-2.40899j,0.77499+1.92962j,0.97157+0.08275j
"v1349(,)",0.66957-2.40899j,0.66957-2.40899j,1.80634-0.20198j
"v1357(,)",0.61086+2.53785j,0.7278+2.06914j,1.30555-0.50276j
"v1359(,)",0.71806-2.03023j,0.71806-2.03023j,1.69913-2.07069j
"v1359(,)",0.66053-2.50894j,0.71806-2.03023j,1.29579+0.39112j
"v1360(,)",0.6724+2.40609j,0.6724+2.40609j,1.79977+0.2078j
"v1360(,)",0.6724+2.40609j,0.77936-1.93057j,0.96745+3.06156j
"v1360(,)",0.06867-2.66819j,0.77936-1.93057j,2.15983+0.97653j
"v1360(,)",0.06867-2.66819j,0.6724+2.40609j,2.06659-1.78363j
"v1360(,)",0.77936-1.93057j,0.77936-1.93057j,1.84528+0.70481j
"v1361(,)",0.61151+2.47422j,0.68363+2.0544j,1.32404+2.71816j
"v1362(,)",0.68947-2.40003j,0.77314+1.90264j,0.96+0.09223j
"v1362(,)",0.68947-2.40003j,0.68947-2.40003j,1.77415-0.18979j
"v1362(,)",0.77314+1.90264j,0.77314+1.90264j,1.86447-0.68663j
"v1363(,)",0.67501+2.4132j,0.78553-1.889j,0.95987-0.10881j
"v1363(,)",0.67501+2.4132j,0.67501+2.4132j,1.77613+0.16851j
"v1363(,)",0.78553-1.889j,0.78553-1.889j,1.84091+0.65442j
"v1364(,)",0.5756-2.03134j,0.57722+1.76834j,1.10619+0.95797j
"v1369(,)",0.50713+2.29062j,0.61556+1.84156j,1.16523-2.50189j
"v1375(,)",0.575+2.25249j,0.69717+1.80372j,1.04679-2.46753j
"v1376(,)",0.60312+2.48129j,0.6863+2.06206j,1.33157+2.72198j
"v1378(,)",0.60944-2.39343j,0.67097+2.33024j,1.3472+3.1191j
"v1381(,)",0.61946-2.53844j,0.72976-2.06321j,1.29529-2.65264j
"v1383(,)",0.77487-1.90823j,0.77487-1.90823j,1.8595+0.69853j
"v1383(,)",0.06081+2.38404j,0.77487-1.90823j,2.10517+1.59566j
"v1383(,)",0.69553+2.40188j,0.77487-1.90823j,0.95546+3.05212j
"v1383(,)",0.69553+2.40188j,0.69553+2.40188j,1.76793+0.19281j
"v1384(,)",0.67623-2.41928j,0.79134+1.89022j,0.95527-3.0301j
"v1384(,)",0.67623-2.41928j,0.67623-2.41928j,1.77067-0.16444j
"v1384(,)",0.79134+1.89022j,0.79134+1.89022j,1.82822-0.6555j
"v1384(,)",0.06081+2.38404j,0.79134+1.89022j,2.09792+0.67813j
"v1385(,)",0.53051-1.92417j,0.53191-1.84765j,1.17577+1.71767j
"v1386(,)",0.55103-1.78836j,0.5897+2.05724j,1.11756-0.95867j
"v1387(,)",0.63275+2.47486j,0.6896+2.04034j,1.318-0.43834j
"v1387(,)",0.6896+2.04034j,0.6896+2.04034j,1.74946+2.10068j
"v1388(,)",0.53951-2.29692j,0.65242-1.85147j,1.1163+2.5209j
"v1389(,)",0.53689+2.04627j,0.55399-1.79509j,1.15197+2.18994j
"v1393(,)",0.53904+2.05898j,0.60318-1.81754j,1.10779+2.20177j
"v1394(,)",0.56837-2.03113j,0.58513+1.77127j,1.10486+0.95568j
"v1395(,)",0.05801+2.34731j,0.67288-2.41531j,2.15059+1.59547j
"v1395(,)",0.05801+2.34731j,0.77418+1.92179j,2.24552+1.97776j
"v1395(,)",0.77418+1.92179j,0.77418+1.92179j,1.84543-0.69534j
"v1395(,)",0.67288-2.41531j,0.67288-2.41531j,1.80015-0.1878j
"v1395(,)",0.67288-2.41531j,0.77418+1.92179j,0.96925+0.09115j
"v1401(,)",0.50545-1.93016j,0.55063-1.87139j,1.17751-1.39957j
"v1404(,)",0.67582+2.41034j,0.67582+2.41034j,1.79306+0.19809j
"v1404(,)",0.67582+2.41034j,0.77992-1.92457j,0.96448+3.05562j
"v1404(,)",0.05432+2.37271j,0.77992-1.92457j,2.27607+1.02254j
"v1404(,)",0.05432+2.37271j,0.67582+2.41034j,2.18233-1.73664j
"v1404(,)",0.77992-1.92457j,0.77992-1.92457j,1.84209+0.7002j
"v1407(,)",0.64976+2.52471j,0.72607+2.04028j,1.28413-0.42538j
"v1412(,)",0.59083-2.0609j,0.60074+1.80874j,1.07619-2.20122j
"v1416(,)",0.5403+2.05286j,0.6054-1.80985j,1.10599+2.19978j
"v1423(,)",0.50016+2.26711j,0.68297+1.79304j,1.11334+0.6913j
"v1424(,)",0.55418+2.07618j,0.5763-1.82678j,1.11796-0.9413j
"v1426(,)",0.55196-1.79609j,0.58574+2.06318j,1.11917-0.9562j
"v1428(,)",0.56703+2.03054j,0.56979-1.82028j,1.12086+2.22566j
"v1429(,)",0.57272-2.03197j,0.57462+1.82169j,1.11309-2.22661j
"v1430(,)",0.56241+2.03324j,0.59072-1.77628j,1.10443-0.95339j
"v1432(,)",0.60591+2.52588j,0.71837+2.07037j,1.33142-0.49799j
"v1435(,)",0.56132-2.03102j,0.56575+1.81744j,1.12782-2.2223j
"v1437(,)",0.62574-2.47874j,0.69039-2.04597j,1.32285+0.43473j
"v1437(,)",0.69039-2.04597j,0.69039-2.04597j,1.7568-2.09203j
"v1439(,)",0.5088+2.27921j,0.67186+1.77862j,1.11628+0.69096j
"v1440(,)",0.57758+2.03519j,0.5796-1.82145j,1.10555-0.91657j
"v1443(,)",0.59948-2.49865j,0.69761-2.06897j,1.34524-2.71923j
"v1443(,)",0.69761-2.06897j,0.69761-2.06897j,1.7793-2.05106j
"v1445(,)",0.54343-2.04809j,0.60454+1.80263j,1.10516+0.94403j
"v1447(,)",0.55487+2.23479j,0.61899+1.82573j,1.11723+0.68125j
"v1449(,)",0.61685-2.53096j,0.72407-2.06365j,1.3106-2.65644j
"v1450(,)",0.56273-2.24799j,0.61265-1.81165j,1.11868-0.6827j
"v1451(,)",0.50434+2.23375j,0.61734+1.77518j,1.14984-2.40676j
"v1452(,)",0.56716-2.26806j,0.68669-1.8208j,1.06485-0.65441j
"v1454(,)",0.55934-2.07592j,0.57117+1.82336j,1.11903+0.94341j
"v1456(,)",0.5693+2.03665j,0.58162-1.77683j,1.10682-0.95498j
"v1457(,)",0.55505+1.80186j,0.58082-2.0665j,1.1196+0.95373j
"v1458(,)",0.55826-2.03661j,0.59375+1.78198j,1.10469+0.95141j
"v1459(,)",0.69638+2.06506j,0.69638+2.06506j,1.77571+2.05796j
"v1459(,)",0.6039+2.49541j,0.69638+2.06506j,1.34148+2.71705j
"v1460(,)",0.46577-1.89245j,0.51187-1.85185j,1.24838+1.70307j
"v1463(,)",0.54741+2.04515j,0.60161-1.79711j,1.10512-0.94604j
"v1465(,)",0.69233+2.05003j,0.69233+2.05003j,1.76012+2.08378j
"v1465(,)",0.62139+2.48326j,0.62139+2.48326j,1.98832-3.1076j
"v1465(,)",0.62139+2.48326j,0.69233+2.05003j,1.32735-0.43313j
"v1469(,)",0.38689+2.48063j,0.60014+1.98264j,1.28833-1.18092j
"v1472(,)",0.56357+2.07431j,0.56786-1.8192j,1.11931-0.94544j
"v1473(,)",0.54512-2.0551j,0.59864+1.80958j,1.10795+0.94292j
"v1474(,)",0.56444-2.24827j,0.68549-1.79784j,1.06057+2.45659j
"v1476(,)",0.62736+2.48394j,0.69426+2.04619j,1.32593-0.43749j
"v1476(,)",0.62736+2.48394j,0.62736+2.48394j,1.98411-3.10581j
"v1476(,)",0.69426+2.04619j,0.69426+2.04619j,1.75198+2.08605j
"v1476(,)",0.07314+2.30054j,0.69426+2.04619j,2.0806-1.63275j
"v1479(,)",0.55762+1.79499j,0.55762+1.79499j,1.93722+2.23325j
"v1479(,)",0.55762+1.79499j,0.58163-2.05995j,1.11724+0.95519j
"v1480(,)",0.49995+2.26327j,0.60952+1.80919j,1.16872-2.45477j
"v1482(,)",0.69626-2.06166j,0.69626-2.06166j,1.77125-2.06269j
"v1482(,)",0.60818-2.49375j,0.69626-2.06166j,1.33893+0.4271j
"v1483(,)",0.47541-1.87291j,0.49657-1.92608j,1.24717+1.75072j
"v1484(,)",0.54387+2.54554j,0.61249+2.53298j,1.1341+2.57147j
"v1485(,)",0.56462-2.03632j,0.57053+1.81493j,1.12106-2.21722j
