"name","volume","margulis constant","left geod","right geod","ortho length"
"m003(-5,2)",1.583166660624812836166028852,0.9053414479595903,(0.735747413466887+2.62615802307859j),(0.735747413466897+2.626158023078585j),(0.531197037591521-2.122620637931379j)
"m003(-5,3)",1.543568911471855074328472943,0.9016923442354835,(0.706835690895674+2.695747450000769j),(0.797871920114067-1.880387791578537j),(0.523930529396281-1.068477229800774j)
"m003(-5,4)",1.588646639300162988176913812,0.8952947865760146,(0.755947576193138+2.767721928718782j),(0.785214119641865-1.704152595373394j),(0.501765982157223-1.12808824734641j)
"m003(-5,6)",1.757126029188451362874746594,0.9553015492198804,(0.933701923074949-2.724447149349686j),(0.953669685297649-1.596577935470178j),(0.133799875875334-1.381013079917782j)
"m003(-5,7)",1.816093821949429902841279803,0.978702731088186,(0.861662458890661+2.743499789061222j),(0.861662458890661+2.743499789061222j),(0.458003809752102+0.779867303838624j)
"m003(-5,8)",1.860149278169625017132461815,0.97805893111982,(0.870317571496734+2.730346464324502j),(0.870317571496733+2.730346464324501j),(0.440599768876755+0.792671531985738j)
"m003(-4,1)",1.423611900292825249809949152,0.8636654806721371,(0.722194467717611+2.561604601083388j),(0.722194467717622+2.561604601083384j),(0.481128742880537-2.038786812976389j)
"m003(-4,3)",1.263709238658043655884716347,0.8138059450555223,(0.575078580850144-1.745322349049002j),(0.666835927028948+2.825033747475914j),(0.589797787536381-1.160895205251154j)
"m003(-4,5)",1.633875900321285078857626823,0.9555952860647501,(0.909907414670589-1.530091381740276j),(0.95559528606475-2.754048056071769j),(0.135109101424427-1.394156598791345j)
"m003(-4,7)",1.807793115131560631983066464,0.9838974113688062,(0.879270056872844+2.743351626391115j),(0.879270056872843+2.743351626391113j),(0.4351620525102+0.772075090099527j)
"m003(-4,9)",1.893215481644375500995511852,0.9769274091385054,(0.87444314103516-2.719749748795667j),(0.87444314103516-2.719749748795667j),(0.430327856988428-0.803894967754096j)
"m003(-3,1)",0.9427073627769277209212996031,0.7744266070099858,(0.584603685017988+2.495370455560468j),(0.584603685017988+2.495370455560469j),(0.525311320210391-1.810246162850034j)
"m003(-3,4)",1.414061044165391581381949405,0.9215179759449771,(0.843598722968887-1.407715442602953j),(0.858021257616638+2.84667559881763j),(0.415527753532175+1.951961617022606j)
"m003(-3,5)",1.610469711289523217035952922,0.9824083208932851,(0.924395264940061-2.782468466036065j),(0.982408320893285-1.465329029136062j),(0.120212054917726-1.397149885712894j)
"m003(-3,7)",1.807793115131560631983066464,0.983897411368808,(0.879270056872844-2.743351626391115j),(0.879270056872847-2.743351626391115j),(0.435162052510199-0.772075090099527j)
