"name","volume","margulis constant","left geod","right geod","ortho length"
"m337(-5,1)",4.093210264506541544769768660,1.0685888942471302,(0.309972086215929+1.074608323507847j),(0.669446348830958-2.422567808532504j),(1.317810451872832+0.198887041875286j)
"m338(5,2)",4.093363819766824439957818220,1.114608821412439,(0.459890675816302+1.944639924457872j),(0.753986680511241+1.94639287570306j),(1.059554138966889+1.390771421734245j)
"s599(-2,3)",4.093687931775486420236193763,1.1075014456256675,(0.664712636253908+2.241094422151989j),(0.817621640234207+1.892733922678755j),(0.902961157575874-2.822242978155787j)
"s385(-2,3)",4.094554999403168038966813397,1.0711737484695993,(0.436629825854533+1.406716291898126j),(0.765796195600388+1.89256260283315j),(1.130408119957858-0.160111970844224j)
"s663(-3,2)",4.094625503888940910922550404,1.0712109744369172,(0.942354071241782+1.6680815065576j),(1.044719708287301+2.03521881571111j),(0.434481339432508-2.102497001936151j)
"m342(-5,2)",4.095601895678487938540892733,1.0935878643502819,(0.482484118353677-1.974445325038944j),(0.553075785582457+1.639303814004156j),(1.170964190024391+1.007065444418895j)
"s349(1,4)",4.095971258899731431876956562,1.1024778413683851,(0.473757931208702+1.677012760086237j),(0.544671820708332-2.135718079976525j),(1.162679796459064-2.007347763512578j)
"s423(4,3)",4.097416056713396563093045477,1.1217866865602628,(0.603907954773339-1.689493159134307j),(0.603907954773336-1.689493159134299j),(1.180026624447976-0.75045100536086j)
"m358(-4,3)",4.097416056713396563093045477,1.1048330240130197,(0.572544795554927+2.473610204244529j),(0.884347952483164-3.039327253294832j),(0.810817148712605-1.554968585521021j)
"m403(3,2)",4.098112528411535384813829399,1.200083232570748,(0.79272589480636+1.857719817228062j),(1.199244199281789+1.829065714483844j),(0.546036901682199-2.287085740678962j)
"s667(-1,2)",4.098220243785298360596215998,1.1078174073101539,(0.658591151015812-3.025950053876924j),(0.749052624082845+2.661580108202157j),(0.847071544754827+1.321222589811483j)
"m374(-4,1)",4.100614872036120933214952412,1.1188497592966442,(0.408852553675091+1.559014070576447j),(0.566864790056505+1.891794958049692j),(1.262852572806869+1.309230067467788j)
"m389(3,2)",4.100947261506569376940748155,1.1476089180080975,(0.694031985089105+2.583121259310448j),(0.894566753551054-2.07381018865007j),(0.853783807881833-0.320343297356361j)
"s478(-3,2)",4.100947261506569376940748155,1.1538071175269946,(0.694981657184296-0.942175759131123j),(0.777539241458001+3.028863653412654j),(1.196042475093823-0.435247524017339j)
"s479(3,2)",4.100947261506569376940748155,1.2123036719752944,(0.777539241457995-3.028863653412652j),(1.202291205228623-3.002081775665564j),(0.52827549834409+1.428234981532722j)
"m340(-7,1)",4.100947261506569376940748155,1.1494118235714859,(0.317346270805824+0.71055048505208j),(0.317346270805824+0.71055048505208j),(2.423120814262171-2.986670596727626j)
"m339(1,4)",4.101457344085584451574129429,1.145971926216396,(0.571684908791136-2.010062757936798j),(0.681108923246497-2.042994837876199j),(1.079257259989881+0.276677152321036j)
"s554(3,2)",4.101643055221249117925220775,1.2077571834046985,(0.766840391241569+1.993792055585118j),(0.827430110068929-1.906341104263j),(1.022917758991114-1.440703952602023j)
"s719(4,1)",4.102569447205097150043636628,1.1177909761891414,(0.696666784197778-1.70196431802325j),(0.712675177982248-0.864883038471565j),(1.295935176518464-0.166616383088856j)
"m389(-3,2)",4.104237147906927455505960799,1.1691607350763413,(0.455050803032795-2.853308484124418j),(0.763295343432536+2.353270041246859j),(1.137439244241877+1.016752412045929j)
"s478(3,2)",4.104237147906927455505960799,1.1301755717665611,(0.908940022013114-1.0016611025466j),(1.121376024723211+1.619158063050534j),(0.603417540774363-1.428087354913051j)
"s479(-3,2)",4.104237147906927455505960799,1.1631950002881661,(0.908940022013113-2.139931551043191j),(1.146299405605096-2.942228386647936j),(0.482481140931038-0.930865395798079j)
"s403(-6,1)",4.104237147906927455505960799,1.1697091846524428,(0.362453203817314+0.857405367539944j),(1.167523887578875-1.907345260553635j),(1.11913415969506-2.079969137003085j)
