"name","left geod","right geod","ortho"
"v1641(,)",0.51404-2.02466*1j,0.54766-2.02145*1j,1.50092-1.98664*1j
"v1642(,)",0.52196+2.03706*1j,0.53916+2.00871*1j,1.50339-1.12865*1j
"v1643(,)",0.51671+1.86492*1j,0.52192+1.90549*1j,1.19503-1.71899*1j
"v1646(,)",0.43917-1.58905*1j,0.64296-2.03964*1j,1.22814+0.4332*1j
"v1647(,)",0.49392+2.24892*1j,0.58005-2.01411*1j,1.51212+0.8657*1j
"v1648(,)",0.66319+2.41201*1j,0.68928-2.38783*1j,1.30902+3.10113*1j
"v1649(,)",0.45963-2.2459*1j,0.51341+2.44866*1j,1.27539-0.95011*1j
"v1650(,)",0.50272-1.91085*1j,0.5304-1.88316*1j,1.19684+1.73875*1j
"v1653(,)",0.66348-1.8039*1j,0.66348-1.8039*1j,1.92267-2.09937*1j
"v1653(,)",0.51614-2.25803*1j,0.66348-1.8039*1j,1.11384-0.68766*1j
"v1654(,)",0.40779-1.54725*1j,0.65791-2.0383*1j,1.255+0.38364*1j
"v1655(,)",0.52507+2.27274*1j,0.63784+1.82237*1j,1.13103+0.66283*1j
"v1659(,)",0.53104-2.27366*1j,0.64465-1.82395*1j,1.12193+2.48227*1j
"v1660(,)",0.50001-1.86539*1j,0.52711-1.89103*1j,1.20579+1.70873*1j
"v1661(,)",0.53961+2.24499*1j,0.63615+1.81692*1j,1.11561-2.45809*1j
"v1661(,)",0.63615+1.81692*1j,0.63615+1.81692*1j,1.97745+2.11055*1j
"v1662(,)",0.65508+1.79103*1j,0.65508+1.79103*1j,1.91915+2.12619*1j
"v1662(,)",0.52353+2.26906*1j,0.65508+1.79103*1j,1.1161-2.45366*1j
"v1665(,)",0.60998+2.47545*1j,0.62349+2.52419*1j,1.09035-0.48849*1j
"v1668(,)",0.54557-2.25649*1j,0.6307-1.80425*1j,1.11717-0.6845*1j
"v1668(,)",0.6307-1.80425*1j,0.6307-1.80425*1j,1.97091-2.13732*1j
"v1674(,)",0.56483+2.47031*1j,0.61022+2.45536*1j,1.14902+2.69596*1j
"v1675(,)",0.48635-2.24831*1j,0.58702+2.01607*1j,1.50445-0.87822*1j
"v1679(,)",0.50687-2.27637*1j,0.55958+2.03265*1j,1.50615+2.20465*1j
"v1680(,)",0.45522-2.2767*1j,0.60392+2.05499*1j,1.5278-0.95948*1j
