"name","left geod","right geod","ortho"
"v2734(-4,1)",0.55619+2.10127*1j,0.66568+1.8958*1j,1.06276-2.20669*1j
"v2660(1,4)",0.66176+2.31536*1j,0.69936-2.19926*1j,1.01689+1.02373*1j
"v2660(1,4)",0.69936-2.19926*1j,0.75408+2.46405*1j,0.96094+1.80901*1j
"v2703(5,1)",0.51849-1.86968*1j,0.77624-2.30168*1j,1.07407-2.6336*1j
"v2619(-5,1)",0.46364-2.61844*1j,0.71232-2.60719*1j,1.18512-2.67552*1j
"v2689(-5,1)",0.59492-1.8324*1j,0.78136+2.12446*1j,1.03904+0.16702*1j
"v2689(-5,1)",0.59492-1.8324*1j,0.61724-2.11409*1j,1.30021+1.68778*1j
"v2797(-4,3)",0.76511-2.07983*1j,0.76511-2.07983*1j,0.90652-1.51337*1j
"s947(-4,1)",0.56284-2.00252*1j,0.64812+2.04271*1j,1.17594-1.06563*1j
"s947(-4,1)",0.56284-2.00252*1j,0.65395+2.35684*1j,1.08515+2.02355*1j
"s950(4,1)",0.70988-2.53002*1j,0.74006-2.26107*1j,1.0378-2.67205*1j
"v2647(-5,1)",0.71228-1.9623*1j,0.72759-2.33857*1j,1.03961+1.43204*1j
"v2647(-5,1)",0.37221+1.75282*1j,0.72759-2.33857*1j,1.22205-1.25416*1j
"v2660(5,1)",0.64198-2.32779*1j,0.72644+2.22941*1j,0.94303-1.97543*1j
"v2729(-4,1)",0.52202+2.24106*1j,0.72901-2.13098*1j,1.03579+1.96395*1j
"v2774(-4,1)",0.51119-1.96377*1j,0.7244-2.3621*1j,1.11573+0.65757*1j
"v2728(4,1)",0.56753+2.10326*1j,0.75522+1.74571*1j,1.09124+0.99448*1j
"v2728(4,1)",0.74288+2.11145*1j,0.75522+1.74571*1j,0.98378+0.89261*1j
"v2704(-6,1)",0.38056-2.59362*1j,0.60714-2.45204*1j,1.32555-2.75662*1j
"v2889(6,1)",0.76349+2.29164*1j,0.76349+2.29164*1j,0.92111+2.6313*1j
"v2857(-4,1)",0.63403-1.80432*1j,0.79299+1.99514*1j,1.06483+0.19667*1j
"v2857(-4,1)",0.65324+2.42411*1j,0.79299+1.99514*1j,1.0557-1.28454*1j
"v2857(-4,1)",0.53455+2.12126*1j,0.65324+2.42411*1j,1.07002-1.4027*1j
"v2958(4,1)",0.62832-2.21423*1j,0.74542+1.94262*1j,0.95827+1.13281*1j
"v2798(4,1)",0.62315-2.58147*1j,0.69859-2.32796*1j,1.01246+1.64451*1j
"v2728(1,4)",0.51582+2.00566*1j,0.77338+1.88597*1j,1.07883-2.1579*1j
"v2728(1,4)",0.76062+2.28699*1j,0.77338+1.88597*1j,1.08066+0.6783*1j
"v2913(-4,1)",0.71347-1.86904*1j,0.78129+2.22665*1j,0.93365+1.99196*1j
