"name","margulis upper","left geod","left power","right geod","right power","ortho"
"m030(4,3)",1.0614060671629952,0.77258+2.11943j,1,0.77258+2.11943j,1,0.79384-1.9088j
"m034(-1,3)",0.9616931346721195,0.5192-1.43671j,1,0.78816+2.75179j,1,0.84181+2.46894j
"m034(1,3)",0.9593926998867369,0.51832-1.41057j,1,0.70553+2.78423j,1,0.8971+2.44251j
"m036(-4,3)",0.9840832003554327,0.6959+2.68717j,1,0.6959+2.68717j,1,0.69769+1.90016j
"m037(4,3)",1.1105568012089442,0.74301+2.19181j,1,0.74301+2.19181j,1,0.88806-1.93038j
"m032(7,1)",1.11768963675305,0.31084-0.81418j,1,0.4229+2.77876j,1,1.61953-0.21208j
"m030(5,3)",1.063082258072282,0.79621+2.16609j,1,0.79621+2.16609j,1,0.75901-1.90057j
"m070(-3,2)",1.0124746965068439,0.61352-2.72044j,1,0.73986-2.78443j,1,0.74704+1.70232j
"m078(-5,1)",0.977066510711005,0.39707+1.15243j,1,0.72979-3.0267j,1,1.05508-2.24357j
"m078(-5,1)",0.977066510711005,0.39707+1.15243j,1,0.72979-3.0267j,1,1.05508-2.24357j
"m069(4,3)",0.9881892607887296,0.72219+2.5616j,1,0.72219+2.5616j,1,0.68474-1.4878j
"m137(-5,1)",1.0586336750695264,0.61937+2.48139j,1,0.74691-1.76152j,1,0.89427-3.13115j
"m069(-4,1)",1.109287116356596,0.5038+1.73429j,1,0.53351+2.77081j,1,1.10185+1.64514j
"m070(-4,1)",1.1526928417073454,0.5038+1.73429j,1,0.70325-2.73524j,1,1.09825-1.11891j
"m070(-4,1)",0.9870509458367276,0.70325-2.73524j,1,0.72329-2.85103j,1,0.67736+1.76137j
"m070(-4,1)",1.049809553347271,0.5038+1.73429j,1,0.72329-2.85103j,1,0.94948-2.35331j
"m078(-1,3)",0.9964247502687589,0.34202+1.15951j,1,0.73523-2.71519j,1,1.10908+0.63611j
"m078(-1,3)",1.2072204410344414,0.31737-2.03883j,1,0.73523-2.71519j,1,1.14342+1.93764j
"m117(-5,1)",0.9747057196469431,0.68545+1.6823j,1,0.7661+3.09783j,1,0.72672-2.1065j
