"name","geod","length","ortho","move"
"v0142(,)",2,0.96915-3.1394*1j,1.25053-1.67579*1j,1.61876711918432
"v0142(,)",1,0.95573+3.13943*1j,1.25701-1.67738*1j,1.61517922629411
"v0143(,)",0,0.01407-1.73677*1j,5.42-2.01919*1j,1.9225780075312
"v0143(,)",1,0.96029-3.13494*1j,1.25625+1.67437*1j,1.61758061020717
"v0143(,)",2,0.96452+3.13492*1j,1.25124+1.67868*1j,1.61624474225531
"v0144(,)",0,0.01345-2.62859*1j,5.24323+2.9085*1j,1.31823959580584
"v0145(,)",0,0.01345-2.62859*1j,5.24323-0.23309*1j,1.31823959580584
"v0146(,)",1,0.95616-3.1399*1j,1.25672+1.67746*1j,1.61522378487756
"v0146(,)",2,0.96872+3.13988*1j,1.25082+1.67571*1j,1.61871870100677
"v0146(,)",0,0.01311+2.3073*1j,5.49147-3.01907*1j,1.91613192277575
"v0147(,)",0,0.01299+2.30736*1j,5.50014+1.97234*1j,1.92204105032605
"v0147(,)",2,0.96407-3.13535*1j,1.25153-1.67863*1j,1.61618450783939
"v0147(,)",1,0.96075+3.13537*1j,1.25596-1.67444*1j,1.61764678577221
"v0148(,)",1,0.95676-3.13874*1j,1.25677+1.67683*1j,1.61566430508737
"v0148(,)",2,0.96811+3.13871*1j,1.25078+1.67632*1j,1.61827519170237
"v0148(,)",0,0.0128+2.43422*1j,5.51489-2.8155*1j,1.91752669731548
"v0149(,)",1,0.9596+3.13595*1j,1.25629-1.67496*1j,1.61715473513824
"v0149(,)",2,0.96522-3.13592*1j,1.25122-1.67812*1j,1.61669850678142
"v0149(,)",0,0.01272+2.43432*1j,5.52077+2.17303*1j,1.92312140894025
"v0150(,)",0,0.0126-2.42528*1j,5.30897+2.77971*1j,1.3190948956019
"v0151(,)",0,0.0126-2.42528*1j,5.30897-0.36188*1j,1.3190948956019
"v0152(,)",0,0.0125-2.63767*1j,5.53855+2.94119*1j,1.91657438209382
"v0152(,)",2,0.96829-3.13949*1j,1.2509-1.67597*1j,1.61849598022606
"v0152(,)",1,0.95659+3.13951*1j,1.25664-1.67719*1j,1.61544317088363
"v0153(,)",0,0.0125+2.38888*1j,5.53909+2.9389*1j,1.91471408152383
"v0153(,)",1,0.95624+3.14122*1j,1.25615+1.67829*1j,1.61480229884733
"v0153(,)",2,0.96864-3.14122*1j,1.25135+1.67491*1j,1.61910467937506
"v0155(,)",0,0.01238+2.38887*1j,5.54848+1.65332*1j,1.91949072412383
"v0155(,)",2,0.96277+3.13545*1j,1.25511-1.67398*1j,1.61828930600198
"v0155(,)",1,0.96205-3.13546*1j,1.25234-1.6791*1j,1.61550526028923
"v0157(,)",0,0.01128+2.40754*1j,5.4194-0.21319*1j,1.31789900384835
"v0158(,)",0,0.01034+2.39998*1j,5.72844+2.95955*1j,1.918217831405
"v0158(,)",1,0.95756+3.13996*1j,1.25612-1.67713*1j,1.61565605761292
"v0158(,)",2,0.9673-3.13995*1j,1.25139-1.67603*1j,1.61823771980791
"v0159(,)",0,0.01028+2.39993*1j,5.73477-2.03206*1j,1.92371024158088
"v0159(,)",1,0.96081-3.13675*1j,1.25559+1.675*1j,1.61738038073724
"v0159(,)",2,0.96402+3.13674*1j,1.25189+1.6781*1j,1.61645138203197
"v0160(,)",0,0.20141+0.85588*1j,2.79468+1.48441*1j,1.49193443619079
"v0160(,)",2,0.93708+2.74919*1j,1.30065-0.56615*1j,1.62459961022274
"v0160(,)",1,0.85744-2.77794*1j,1.35922+0.64243*1j,1.62617452198507
"v0161(,)",0,0.12636+0.94997*1j,3.39119-1.1569*1j,2.05403248686679
"v0161(,)",1,0.80339+2.69039*1j,1.41496+2.80619*1j,1.63485986885781
"v0161(,)",3,0.90163+2.73022*1j,1.33761+2.79427*1j,1.63125635713058
"v0161(,)",2,0.88251+2.62151*1j,1.37347+2.87354*1j,1.63910672429762
"v0162(,)",0,0.12636+0.94997*1j,3.391+1.69904*1j,2.05387586747524
"v0162(,)",1,0.80613-2.66019*1j,1.41969-2.82686*1j,1.63733998543402
"v0162(,)",2,0.87085-2.74227*1j,1.35906-2.7806*1j,1.63133347906095
"v0162(,)",3,0.91059-2.63943*1j,1.34753-2.86588*1j,1.6368858645934
"v0163(,)",0,0.11642-2.83346*1j,3.34589+1.74771*1j,1.53218775376336
"v0163(,)",2,0.91463+2.70645*1j,1.34492-0.53959*1j,1.64369167008666
"v0163(,)",1,0.84627-2.73444*1j,1.39685+0.60423*1j,1.64843979097771
"v0164(,)",0,0.10021+1.19077*1j,3.49678-0.90261*1j,1.58401174378126
"v0164(,)",1,0.81467+2.68328*1j,1.45651-0.56631*1j,1.67720032558258
"v0164(,)",2,0.89668-2.64414*1j,1.39186+0.48985*1j,1.66612229082185
"v0165(,)",0,0.09717-1.03862*1j,3.52672+1.91308*1j,1.60352419041091
"v0165(,)",2,0.84991+2.63479*1j,1.44124-0.50076*1j,1.67901181354265
"v0165(,)",1,0.8347-2.64254*1j,1.4534+0.51487*1j,1.68152212336404
"v0166(,)",1,0.84188+2.71687*1j,1.41101-0.58834*1j,1.65653927562035
"v0166(,)",2,0.90454-2.68997*1j,1.36285+0.52935*1j,1.65095389578124
"v0166(,)",0,0.08639+1.92733*1j,3.64486-1.98125*1j,1.54763501007543
"v0167(,)",0,0.08629-1.46008*1j,3.6465+2.34665*1j,1.55988257690347
"v0167(,)",2,0.90508+2.67406*1j,1.37017-0.51412*1j,1.65599360720667
"v0167(,)",1,0.83064-2.70714*1j,1.42787+0.58397*1j,1.66372112414216
"v0168(,)",1,0.8243-2.67051*1j,1.45211+0.54835*1j,1.67748266738149
"v0168(,)",2,0.87954+2.64367*1j,1.4084-0.49692*1j,1.66957674049429
"v0168(,)",0,0.08219+1.08457*1j,3.69474+1.22134*1j,1.5885122761144
"v0169(,)",0,0.07381+2.25169*1j,3.80234+1.9081*1j,1.54842581745905
"v0169(,)",2,0.89764+2.69117*1j,1.36878-0.53395*1j,1.65175560854658
